sentence_id,sentence
182,"`Still,' he said, standing suddenly up and sticking out his chin."
183,"while his beard went stiff and straight like bristling wire, `we must keep up our courage."
184,"You will soon be well, if I do not talk you to death."
185,"You are in Rivendell, and you need not worry about anything for the present.'"
186,"'I haven't any courage to keep up,' said Frodo, `but I am not worried at the moment."
187,"Just give me news of my friends, and tell me the end of the affair at the Ford, as I keep on asking, and I shall be content for the present."
188,"After that I shall have another sleep, I think; but I shan't be able to close my eyes until you have finished the story for me.'"
189,"Gandalf moved his chair to the bedside, and took a good look at Frodo."
190,"The colour had come back to his face, and his eyes were clear, and fully awake and aware."
191,"He was smiling, and there seemed to be little wrong with him."
192,"But to the wizard's eye there was a faint change just a hint as it were of transparency, about him, and especially about the left hand that lay outside upon the coverlet."
193,"`Still that must be expected,' said Gandalf to himself."
194,"`He is not half through yet, and to what he will come in the end not even Elrond can foretell."
195,"Not to evil, I think."
196,He may become like a glass filled with a clear light for eyes to see that can.'
197,"`You look splendid,' he said aloud."
198,`I will risk a brief tale without consulting Elrond.
199,"But quite brief, mind you, and then you must sleep again."
200,"This is what happened, as far as I can gather."
201,"The Riders made straight for you, as soon as you fled."
202,"They did not need the guidance of their horses any longer: you had become visible to them, being already on the threshold of their world."
203,And also the Ring drew them.
204,"Your friends sprang aside, off the road, or they would have been ridden down."
205,"They knew that nothing could save you, if the white horse could not."
206,"The Riders were too swift to overtake, and too many to oppose."
207,On foot even Glorfindel and Aragorn together could not with stand all the Nine at once.
208,"`When the Ringwraiths swept by, your friends ran up behind."
209,Close to the Ford there is a small hollow beside the road masked by a few stunted trees.
210,"There they hastily kindled fire; for Glorfindel knew that a flood would come down, if the Riders tried to cross, and then he would have to deal with any that were left on his side of the river."
211,"The moment the flood appeared, he rushed out, followed by Aragorn and the."
212,others with flaming brands.
213,"Caught between fire and water, and seeing an Elf-lord revealed in his wrath, they were dismayed, and their horses were stricken with madness."
214,Three were carried away by the first assault of the flood; the others were now hurled into the water by their horses and overwhelmed.'
215,'And is that the end of the Black Riders?'
216,asked Frodo.
217,"'No,' said Gandalf."
218,"'Their horses must have perished, and without them they are crippled."
219,But the Ringwraiths themselves cannot be so easily destroyed.
220,"However, there is nothing more to fear from them at present."
221,"Your friends crossed after the flood had passed; and they found you lying on your face at the top of the bank, with a broken sword under you."
222,The horse was standing guard beside you.
223,"You were pale and cold, and they feared that you were dead, or worse."
224,"Elrond's folk met them, carrying you slowly towards Rivendell.'"
225,`Who made the flood?'
226,asked Frodo.
227,"'Elrond commanded it,' answered Gandalf."
228,"`The river of this valley is under his power, and it will rise in anger when he has great need to bar the Ford."
229,As soon as the captain of the Ringwraiths rode into the water the flood was released.
230,"If I may say so, I added a few touches of my own: you may not have noticed, but some of the waves took the form of great white horses with shining white riders; and there were many rolling and grinding boulders."
231,"For a moment I was afraid that we had let loose too fierce a wrath, and the flood would get out of hand and wash you all away."
232,There is great vigour in the waters that come down from the snows of the Misty Mountains.'
