word1,word2,MI_score
pippin,gandalf,1.5317051013985363
dark,lord,1.530207394294047
even,black,1.5260238335677627
little,know,1.5245090706347941
must,us,1.5242761712814943
denethor,pippin,1.5242761712814925
seemed,saw,1.5234031334086264
pippin,looked,1.5213680972452526
many,men,1.5206269747582617
rode,came,1.5163412801704208
lay,upon,1.5088337435014818
said,thus,1.5088337435014818
men,gondor,1.5077205676374525
sam,orcs,1.5069150106200553
folk,men,1.5013650725976309
white,upon,1.5009285454161354
take,shall,1.4970547025464676
mr,said,1.4918606648977644
come,shall,1.4903288393581562
said,wish,1.4822919560489893
like,heart,1.4800777361836488
well,said,1.47926062811813
lord,king,1.4767451058246266
red,sam,1.4735564136736272
wall,great,1.4702812816407658
heart,yet,1.4685438036712917
day,went,1.4657458216436527
ring,sam,1.454940735506277
friend,said,1.4543859594791044
long,thought,1.4542274912187434
way,road,1.4539322104453607
go,go,1.4506420217256242
denethor,lord,1.450619129556184
said,eomer,1.4474331988373343
said,im,1.445973719662904
shire,frodo,1.4439406127443792
said,denethor,1.442107629700665
went,passed,1.4412036373808608
great,gate,1.44013167096106
frodo,mr,1.4388696231969575
old,looked,1.4384317562631797
pippin,man,1.43799066657634
see,first,1.437621789027311
come,tell,1.4375121409147074
merry,thought,1.4373427011305093
get,sam,1.432914429176277
us,time,1.4327778167959995
man,yet,1.4327157245356652
set,upon,1.431665882979022
would,say,1.4313908552216592
saw,great,1.4296392971434173
ill,frodo,1.427410507821893
soon,shall,1.4218289023106756
came,found,1.4193168257755584
could,let,1.4139134672462248
go,take,1.413913467246223
stood,still,1.4138835050435272
upon,stone,1.411317237587216
lord,may,1.4104300394404863
right,frodo,1.4092631611116335
may,us,1.4087989538615595
pippin,denethor,1.4087989538615595
us,may,1.4087989538615595
go,must,1.4031670857822256
bilbo,said,1.401918539584969
said,hes,1.401918539584969
shall,go,1.3982682863693903
king,gondor,1.3982117032779353
last,night,1.398179371079177
king,aragorn,1.3958251104410593
imrahil,said,1.3872717636205678
dead,aragorn,1.3856087143979217
frodo,head,1.3809887071164582
dead,lord,1.3790658685311499
lord,dead,1.3790658685311499
sam,got,1.3784666451539014
indeed,gandalf,1.3784342617902823
nay,said,1.3763834474778296
dead,upon,1.3705543686756307
care,said,1.3705543686756307
would,might,1.3702103845478586
yet,fear,1.3673038239081308
let,come,1.366545619560565
last,lay,1.365442584667175
said,alas,1.3612765550876222
wont,said,1.3612765550876222
faramir,stood,1.3612245557709617
us,aragorn,1.3576263018720436
said,gimli,1.3575244202265146
went,behind,1.356811450090488
came,sun,1.3528425478875423
passed,went,1.3480942329893804
rode,back,1.3470890206572435
come,back,1.3464110624488619
thought,could,1.3462747503708616
great,red,1.3447503995569043
shadow,upon,1.3422755931575647
well,must,1.3390367483625116
said,father,1.3389087420591679
many,days,1.3372456928365235
need,come,1.3351504232850289
came,saw,1.3339253345449151
stood,saw,1.331908988946406
company,came,1.3256577185613132
sam,going,1.323980057623114
lord,aragorn,1.3174372117563422
sam,ring,1.3174372117563422
speak,said,1.3131092726271127
said,say,1.312033036067774
face,one,1.3108030676335662
upon,stood,1.3104201850994723
asked,said,1.3023828660340548
said,remember,1.3023828660340548
dear,said,1.302382866034053
said,aragorn,1.3023828660340513
sam,took,1.3016698958980282
said,pippin,1.2997381447784875
ill,sam,1.2990586824414905
two,one,1.2971281307364908
know,looked,1.2958083968301217
sam,dont,1.2954109054263458
yet,man,1.2952122007857305
day,last,1.2939212872858583
