word,frequency
knowledge,7
woman,7
keys,7
siege,7
echoed,7
leapt,7
coat,7
easterlings,7
lamedon,7
frightened,7
everywhere,7
able,7
win,7
following,7
chosen,7
beaten,7
wield,7
fill,7
ash,7
seemingly,7
risen,7
shouting,7
sounded,7
choice,7
hollow,7
stooping,7
flash,7
lets,7
inner,7
fingers,7
plunged,7
threshold,7
eagles,7
mundburg,7
recall,7
guarded,7
flowing,7
snaga,7
strode,7
sharp,7
frowning,7
perils,7
rocks,7
gwaihir,7
somewhat,7
entrance,7
mayor,7
em,7
nine,7
duties,7
lap,7
ladder,7
hoofs,7
ents,7
hail,7
fate,7
rows,7
scarcely,7
tunnel,7
kindly,7
steed,7
guide,7
greatly,7
perish,7
whip,7
ruffian,7
barliman,7
wholly,7
floating,7
easier,7
ruinous,7
delight,7
laden,7
piece,7
proudly,7
whispered,7
meant,7
nob,7
causeway,7
pierced,7
begging,7
reared,7
rich,7
cross,7
guests,7
eager,7
glass,7
southfarthing,7
finished,7
overthrown,7
troubles,7
sense,7
wed,7
courage,7
halt,7
urgent,7
menace,7
killing,7
mill,7
southern,7
wine,7
struck,7
boss,7
stairs,7
league,7
kingly,7
suffer,7
emyn,7
skill,7
journeyed,7
carried,7
shoulder,7
queen,7
beacons,7
making,7
hunted,7
named,7
theyll,7
fact,6
govern,6
precipice,6
athelas,6
closing,6
needs,6
level,6
poured,6
kingsfoil,6
dwimorberg,6
fragrance,6
virtue,6
gladly,6
mingled,6
noticed,6
downs,6
bay,6
axes,6
file,6
itll,6
promised,6
mass,6
join,6
hauberk,6
dry,6
afterwards,6
assailed,6
whisper,6
stronger,6
sheath,6
breeze,6
fears,6
destroy,6
snapped,6
fashion,6
weep,6
pieces,6
wary,6
leads,6
clenched,6
supper,6
gaping,6
laying,6
befallen,6
morthond,6
caves,6
plans,6
anon,6
skin,6
verily,6
sombre,6
paced,6
lowest,6
goods,6
enemys,6
oclock,6
art,6
eldest,6
dyou,6
strangely,6
waybread,6
elbereth,6
dealt,6
blown,6
shields,6
smile,6
pride,6
isenmouthe,6
seized,6
wizards,6
awoke,6
endless,6
rides,6
glance,6
hewn,6
tracker,6
tom,6
suffered,6
elendil,6
mastered,6
rush,6
tearing,6
crashed,6
cared,6
dismounted,6
snarled,6
likeness,6
putting,6
laugh,6
curse,6
arch,6
flashed,6
sadly,6
charged,6
stuff,6
due,6
woven,6
webs,6
content,6
stage,6
flat,6
works,6
hunt,6
cool,6
relief,6
arrows,6
staggered,6
gang,6
echoing,6
healers,6
knives,6
steady,6
book,6
desert,6
thick,6
deny,6
sends,6
perilous,6
folded,6
fearing,6
corsairs,6
umbar,6
pimple,6
party,6
dreary,6
heights,6
grows,6
rim,6
authority,6
looks,6
waggons,6
treachery,6
mad,6
morannon,6
shaken,6
lake,6
wizard,6
possible,6
orodruin,6
dearly,6
hatred,6
gentle,6
ghosts,6
reason,6
roaring,6
misty,6
whiles,6
wildly,6
cloaked,6
samwise,6
sometimes,6
rescue,6
spent,6
remote,6
grieved,6
